bibkey,type,author,title,year,venue_or_publisher,doi,url,note
Hopf1931,article,Heinz Hopf,Über die Abbildungen der dreidimensionalen Sphäre auf die Kugelfläche,1931,"Math. Ann. 104, 637-665",,,
Whitehead1942,article,George W. Whitehead,On the homotopy groups of spheres and rotation groups,1942,"Ann. of Math. 43, 634-640",,,
Freudenthal1938,article,Hans Freudenthal,Über die Klassen der Sphärenabbildungen I. Große Dimensionen,1938,"Compos. Math. 5, 299-314",,,
Pontryagin1950,article,Lev S. Pontryagin,Homotopy classification of mappings of an (n+2)-dimensional sphere on an n-dimensional one,1950,"Dokl. Akad. Nauk SSSR 70, 957-959",,,
Whitehead1950,article,George W. Whitehead,The (n+2)nd homotopy group of the n-sphere,1950,"Ann. of Math. 52, 245-247",,,
Rokhlin1951,article,V. A. Rokhlin,The classification of mappings of the (n+3)-sphere to the n-sphere,1951,"Dokl. Akad. Nauk SSSR 81, 19-22",,,
Serre1951,article,Jean-Pierre Serre,Homologie singulière des espaces fibrés. Applications,1951,"Ann. of Math. 54, 425-505",,,
Serre1953,article,Jean-Pierre Serre,Groupes d’homotopie et classes de groupes abéliens,1953,"Ann. of Math. 58, 258-294",,,
SpanierWhitehead1953,article,Edwin Spanier and George W. Whitehead,A first approximation to homotopy theory,1953,"Proc. Natl. Acad. Sci. USA 39, 655-660",,,
James1955,article,I. M. James,Reduced product spaces,1955,"Ann. of Math. 62, 170-197",,,
Toda1958,article,Hirosi Toda,p-primary components of homotopy groups. III. Stable groups of the sphere,1958,"Mem. Coll. Sci. Univ. Kyoto Ser. A Math. 31, 191-210",,,
Toda1962,book,Hirosi Toda,Composition methods in homotopy groups of spheres,1962,"Annals of Mathematics Studies 49, Princeton University Press",,,
MimuraToda1963,article,Mamoru Mimura and Hirosi Toda,The (n+20)-th homotopy groups of n-spheres,1963,"J. Math. Kyoto Univ. 3, 37-58",,,
Oguchi1964,article,K. Oguchi,"Generators of 2-primary components of homotopy groups of spheres, unitary groups and symplectic groups",1964,"J. Fac. Sci. Univ. Tokyo 11, 65-111",,,
Mimura1965,article,Mamoru Mimura,"On the generalized Hopf homomorphism and the higher composition, Part II: pi_\{n+i\}(S^n) for i=21 and 22",1965,"J. Math. Kyoto Univ. 4, 301-326",,,
Thomeier1966,article,S. Thomeier,Einige Ergebnisse über Homotopiegruppen von Sphären,1966,"Math. Ann. 164, 225-250",,,
MimuraMoriOda1975,article,"Mamoru Mimura, M. Mori, and Nobuyuki Oda",Determinations of 2-components of the 23- and 24-stems in homotopy groups of spheres,1975,"Mem. Fac. Sci. Kyushu Univ. 29, 1-42",,,
Oda1979,article,Nobuyuki Oda,Unstable homotopy groups of spheres,1979,"Bull. Inst. Adv. Res. Fukuoka Univ. 44, 49-152",,,
InoueMukai2012,article,Junichi Inoue and Juno Mukai,The 31-stem homotopy groups of spheres,2012,Kyushu J. Math. / preprint literature,,,Bibliographic variants occur in secondary sources.
MiyauchiMukai2017,article,Toshiyuki Miyauchi and Juno Mukai,Determination of the 2-primary components of the 32-stem homotopy groups of S^n,2017,"Bol. Soc. Mat. Mex. 23, 319-387",,,
YangWu2026,article,Juxin Yang and Jie Wu,On the extension problems for three 33-stem homotopy groups,2026,"Homology Homotopy Appl. 28(1), 67-97",,,
MiyauchiMukai2026,misc,Toshiyuki Miyauchi and Juno Mukai,Relations in the 24-th homotopy groups of spheres,2026,arXiv:2606.12046,,,
Adams1958,article,J. Frank Adams,On the structure and applications of the Steenrod algebra,1958,"Comment. Math. Helv. 32, 180-214",,,
Adams1960,article,J. Frank Adams,On the non-existence of elements of Hopf invariant one,1960,"Ann. of Math. 72, 20-104",,,
Adams1966J,article,J. Frank Adams,On the groups J(X). IV,1966,"Topology 5, 21-71",,,
Bott1959,article,Raoul Bott,The stable homotopy of the classical groups,1959,"Ann. of Math. 70, 313-337",,,
Quillen1971,article,Daniel Quillen,The Adams conjecture,1971,"Topology 10, 67-80",,,
Sullivan1974,article,Dennis Sullivan,Genetics of homotopy theory and the Adams conjecture,1974,"Ann. of Math. 100, 1-79",,,
Kervaire1960,article,Michel Kervaire,A manifold which does not admit any differentiable structure,1960,"Comment. Math. Helv. 34, 257-270",,,
KervaireMilnor1963,article,Michel Kervaire and John Milnor,Groups of homotopy spheres. I,1963,"Ann. of Math. 77, 504-537",,,
Browder1969,article,William Browder,The Kervaire invariant of framed manifolds and its generalization,1969,"Ann. of Math. 90, 157-186",,,
BarrattJonesMahowald1984,article,"Michael Barratt, John Jones, and Mark Mahowald",Relations amongst Toda brackets and the Kervaire invariant in dimension 62,1984,"J. London Math. Soc. 30, 533-550",,,
HillHopkinsRavenel2016,article,"Michael Hill, Michael Hopkins, and Douglas Ravenel",On the nonexistence of elements of Kervaire invariant one,2016,"Ann. of Math. 184, 1-262",,,
LinWangXuKervaire2025,misc,"Weinan Lin, Guozhen Wang, and Zhouli Xu",On the Last Kervaire Invariant Problem,2025,arXiv:2412.10879v2,,,Preprint as of 8 August 2026.
May1964,phdthesis,J. Peter May,The cohomology of restricted Lie algebras and of Hopf algebras: application to the Steenrod algebra,1964,,,,
MahowaldTangora1967,article,Mark Mahowald and Martin Tangora,Some differentials in the Adams spectral sequence,1967,"Topology 6, 349-369",,,
BarrattMahowaldTangora1970,article,"Michael Barratt, Mark Mahowald, and Martin Tangora",Some differentials in the Adams spectral sequence. II,1970,"Topology 9, 309-316",,,
Bruner1984,article,Robert Bruner,A new differential in the Adams spectral sequence,1984,"Topology 23, 271-276",,,
Novikov1967,article,Sergei Novikov,Methods of algebraic topology from the point of view of cobordism theory,1967,"Izv. Akad. Nauk SSSR Ser. Mat. 31, 855-951",,,
Quillen1969,article,Daniel Quillen,On the formal group laws of unoriented and complex cobordism theory,1969,"Bull. Amer. Math. Soc. 75, 1293-1298",,,
Ravenel1986,book,Douglas Ravenel,Complex cobordism and stable homotopy groups of spheres,1986,"Pure and Applied Mathematics 121, Academic Press",,,
Kochman1990,book,Stanley Kochman,Stable homotopy groups of spheres: a computer-assisted approach,1990,"Lecture Notes in Mathematics 1423, Springer",,,
KochmanMahowald1995,article,Stanley Kochman and Mark Mahowald,On the computation of stable stems,1995,"Contemp. Math. 181, 299-316",,,
Isaksen2019,book,Daniel Isaksen,Stable stems,2019,"Mem. Amer. Math. Soc. 262, no. 1269",,,
WangXu2017,article,Guozhen Wang and Zhouli Xu,The triviality of the 61-stem in the stable homotopy groups of spheres,2017,"Ann. of Math. 186, 501-580",,,
IsaksenWangXu2020,article,"Daniel Isaksen, Guozhen Wang, and Zhouli Xu",Stable homotopy groups of spheres,2020,"Proc. Natl. Acad. Sci. USA 117, 24757-24763",,,
IsaksenWangXu2023,article,"Daniel Isaksen, Guozhen Wang, and Zhouli Xu",Stable homotopy groups of spheres: from dimension 0 to 90,2023,"Publ. Math. IHES 137, 107-243",,,
BurklundIsaksenXu2025,article,"Robert Burklund, Daniel Isaksen, and Zhouli Xu",Classical stable homotopy groups of spheres via F_2-synthetic methods,2025,"Peking Math. J., published 11 April 2025",,,
WangXuSurvey2010,misc,Guozhen Wang and Zhouli Xu,A survey of computations of homotopy groups of spheres and cobordisms,2010,Preprint / survey,,,
WangXuSurvey2023,article,Guozhen Wang and Zhouli Xu,Stable homotopy groups,2023,"EMS Magazine 128, 23-29",,,
Tangora1975,article,Martin Tangora,Some homotopy groups mod 3,1975,"Conference on Homotopy Theory, Notas Mat. Simpos. 1, 227-245",,,
Aubry1984,article,Marc Aubry,Calculs de groupes d’homotopie stables de la sphère par la suite spectrale d’Adams-Novikov,1984,"Math. Z. 185, 45-91",,,
Oka1971,article,Shichiro Oka,The stable homotopy groups of spheres. I,1971,"Hiroshima Math. J. 1, 305-337",,,
Oka1972,article,Shichiro Oka,The stable homotopy groups of spheres. II,1972,"Hiroshima Math. J. 2, 99-161",,,
OkaToda1975,article,Shichiro Oka and Hirosi Toda,3-primary beta-family in stable homotopy,1975,"Hiroshima Math. J. 5, 447-460",,,
MillerRavenelWilson1977,article,"Haynes Miller, Douglas Ravenel, and W. Stephen Wilson",Periodic phenomena in the Adams-Novikov spectral sequence,1977,"Ann. of Math. 106, 469-516",,,
Nishida1973,article,Goro Nishida,The nilpotency of elements of the stable homotopy groups of spheres,1973,"J. Math. Soc. Japan 25, 707-732",,,
DevinatzHopkinsSmith1988,article,"Ethan Devinatz, Michael Hopkins, and Jeffrey Smith",Nilpotence and stable homotopy theory. I,1988,"Ann. of Math. 128, 207-241",,,
HopkinsSmith1998,article,Michael Hopkins and Jeffrey Smith,Nilpotence and stable homotopy theory. II,1998,"Ann. of Math. 148, 1-49",,,
Ravenel1984,article,Douglas Ravenel,Localization with respect to certain periodic homology theories,1984,"Amer. J. Math. 106, 351-414",,,
Miller1981,article,Haynes Miller,"On relations between Adams spectral sequences, with an application to the stable homotopy of a Moore space",1981,"J. Pure Appl. Algebra 20, 287-312",,,
Bousfield1982,article,A. K. Bousfield,On the homotopy theory of K-local spectra at an odd prime,1982,Amer. J. Math. 107 / related series,,,See Bousfield’s K-local papers for exact bibliographic segmentation.
BeaudryEtAl2021,article,"Agnes Beaudry, Mark Behrens, Prasit Bhattacharya, Dominic Culver, and Zhouli Xu",The telescope conjecture at height 2 and the tmf resolution,2021,"J. Topol. 14, 1243-1320",,,
BurklundHahnLevySchlank2023,misc,"Robert Burklund, Jeremy Hahn, Ishan Levy, and Tomer Schlank",K-theoretic counterexamples to Ravenel’s telescope conjecture,2023,arXiv:2310.17459,,,Preprint as of 8 August 2026.
KahnPriddy1978,article,Daniel Kahn and Stewart Priddy,The transfer and stable homotopy theory,1978,"Math. Proc. Cambridge Philos. Soc. 83, 103-111",,,
Lin1981,article,Wen-Hsiung Lin,Algebraic Kahn-Priddy theorem,1981,"Pacific J. Math. 96, 435-455",,,
Balderrama2026,misc,William Balderrama,Kahn-Priddy theorems via the norm,2026,arXiv:2604.12679,,,
CohenMooreNeisendorfer1979,article,"Frederick Cohen, Joseph Moore, and Joseph Neisendorfer",The double suspension and exponents of the homotopy groups of spheres,1979,"Ann. of Math. 110, 549-565",,,
Goodwillie1990,article,Thomas Goodwillie,Calculus I: The first derivative of pseudoisotopy theory,1990,"K-Theory 4, 1-27",,,
AroneMahowald1999,article,Gregory Arone and Mark Mahowald,The Goodwillie tower of the identity functor and the unstable periodic homotopy of spheres,1999,"Invent. Math. 135, 743-788",,,
Bousfield2001,article,A. K. Bousfield,On the telescopic homotopy theory of spaces,2001,"Trans. Amer. Math. Soc. 353, 2391-2426",,,
Kuhn2008,article,Nicholas Kuhn,A guide to telescopic functors,2008,"Homology Homotopy Appl. 10, 291-319",,,
BehrensMalin2024,misc,Mark Behrens and Connor Malin,Unstable homotopy groups and Lie algebras,2024,arXiv:2410.18330,,,
BasuBlancSen2025,misc,"Saugata Basu, David Blanc, and Debasis Sen",The higher structure of unstable homotopy groups,2025,arXiv:2003.08842v4,,,
IvanovMikhailovWu2017,article,"Sergei Ivanov, Roman Mikhailov, and Jie Wu",On nontriviality of homotopy groups of spheres,2017,arXiv:1506.00952 / related publication,,,
MikhailovWu2010,article,Roman Mikhailov and Jie Wu,Homotopy groups as centers of finitely presented groups,2010,Algebr. Geom. Topol. / related papers,,,
BurklundSenger2022,misc,"Robert Burklund, with appendix by Andrew Senger",How big are the stable homotopy groups of spheres?,2022,arXiv:2203.00670,,,
BhattacharyaBobkovaQuigley2026,article,"Prasit Bhattacharya, Irina Bobkova, and J. D. Quigley",New infinite families in the stable homotopy groups of spheres,2026,Geom. Topol. 30(6) / arXiv:2404.10062,,,
BobkovaQuigley2024,misc,Irina Bobkova and J. D. Quigley,New simple eta-torsion families of elements in the stable stems,2024,arXiv:2410.21181,,,
CarrickDavies2025,misc,Christian Carrick and Jack Morgan Davies,On periodic families in the stable stems of height two,2025,arXiv:2506.20507,,,
CarrickDavies2024,misc,Christian Carrick and Jack Morgan Davies,Nonvanishing of products in v2-periodic families at the prime 3,2024,arXiv:2410.02564,,,
Davies2025,misc,Jack Morgan Davies,Revisiting the beta_1-action on the 3-primary stable homotopy groups of spheres,2025,arXiv:2511.02324,,,
CarrickDaviesV1,misc,Christian Carrick and Jack Morgan Davies,A synthetic approach to detecting v1-periodic families,2024,arXiv:2401.16508; accepted Trans. AMS,,,
BurklundXu2025,article,Robert Burklund and Zhouli Xu,The Adams differentials on the classes h_j^3,2025,"Invent. Math. 239, 1-77",,,
LiLi2026,article,Runji Li and Yuxuan Li,The Adams differentials on the e-family,2026,arXiv:2602.20184; Proc. Amer. Math. Soc.,,,
BehrensMahowaldQuigley2023,article,"Mark Behrens, Mark Mahowald, and J. D. Quigley",The 2-primary Hurewicz image of tmf,2023,"Geom. Topol. 27, 2763-2831",,,
BehrensHillHopkinsMahowald2020,article,"Mark Behrens, Michael Hill, Michael Hopkins, and Mark Mahowald",Detecting exotic spheres in low dimensions using coker J,2020,"J. Lond. Math. Soc. 101, 1173-1218",,,
Curtis1975,article,Edward Curtis,The Dyer-Lashof algebra and the lambda algebra,1975,"Illinois J. Math. 19, 231-246",,,
Wellington1982,article,Robert Wellington,The unstable Adams spectral sequence for free iterated loop spaces,1982,"Mem. Amer. Math. Soc. 36, no. 258",,,
MorelVoevodsky1999,article,Fabien Morel and Vladimir Voevodsky,A^1-homotopy theory of schemes,1999,"Publ. Math. IHES 90, 45-143",,,
DuggerIsaksen2010,article,Daniel Dugger and Daniel Isaksen,The motivic Adams spectral sequence,2010,"Geom. Topol. 14, 967-1014",,,
IsaksenXu2015,article,Daniel Isaksen and Zhouli Xu,Motivic stable homotopy and the stable 51 and 52 stems,2015,"Topology Appl. 190, 31-34",,,
GheorgheWangXu2021,article,"Bogdan Gheorghe, Guozhen Wang, and Zhouli Xu",The special fiber of the motivic deformation of the stable homotopy category is algebraic,2021,"Acta Math. 226, 319-407",,,
Pstragowski2023,article,Piotr Pstragowski,Synthetic spectra and the cellular motivic category,2023,Invent. Math. / published version of arXiv:1803.01804,,,
Brown1957,article,Edgar H. Brown Jr.,Finite computability of Postnikov complexes,1957,"Ann. of Math. 65, 1-20",,,
CadekEtAl2014,article,"Martin Cadek, Marek Krcal, Jiri Matousek, Francis Sergeraert, Lukas Vokrinek, and Uli Wagner",Computing all maps into a sphere,2014,"J. ACM 61, Article 17",,,
