stem,image_J_or_degree_zero,non_J_component,full_3_primary_component,non_J_generators,notes,status,source
0,Z_(3),0,Z_(3),,degree-zero 3-local integers,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
1,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
2,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
3,Z/3,0,Z/3,,"im J; t=(k+1)/4=1, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
4,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
5,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
6,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
7,Z/3,0,Z/3,,"im J; t=(k+1)/4=2, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
8,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
9,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
10,0,Z/3,Z/3,beta_1,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
11,Z/9,0,Z/9,,"im J; t=(k+1)/4=3, v_3(t)=1",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
12,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
13,0,Z/3,Z/3,alpha_1 beta_1,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
14,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
15,Z/3,0,Z/3,,"im J; t=(k+1)/4=4, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
16,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
17,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
18,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
19,Z/3,0,Z/3,,"im J; t=(k+1)/4=5, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
20,0,Z/3,Z/3,beta_1^2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
21,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
22,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
23,Z/9,Z/3,Z/3 + Z/9,alpha_1 beta_1^2,"im J; t=(k+1)/4=6, v_3(t)=1",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
24,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
25,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
