n,stem_k,compact_group,source_id,source_locator
2,20,132+2,MimuraToda1963,"Theorem, journal p. 37"
3,20,2^2,MimuraToda1963,"Theorem, journal p. 37"
4,20,2^6,MimuraToda1963,"Theorem, journal p. 37"
5,20,6+2^2,MimuraToda1963,"Theorem, journal p. 37"
6,20,480+12,MimuraToda1963,"Theorem, journal p. 37"
7,20,24,MimuraToda1963,"Theorem, journal p. 37"
8,20,24+3,MimuraToda1963,"Theorem, journal p. 37"
9,20,24,MimuraToda1963,"Theorem, journal p. 37"
10,20,504+24,MimuraToda1963,"Theorem, journal p. 37"
11,20,24+2^2,MimuraToda1963,"Theorem, journal p. 37"
12,20,24+2^5,MimuraToda1963,"Theorem, journal p. 37"
13,20,24+2^3,MimuraToda1963,"Theorem, journal p. 37"
14,20,240+24,MimuraToda1963,"Theorem, journal p. 37"
15,20,24,MimuraToda1963,"Theorem, journal p. 37"
16,20,24,MimuraToda1963,"Theorem, journal p. 37"
17,20,24,MimuraToda1963,"Theorem, journal p. 37"
18,20,24+12,MimuraToda1963,"Theorem, journal p. 37"
19,20,24+2,MimuraToda1963,"Theorem, journal p. 37"
20,20,24+2^2,MimuraToda1963,"Theorem, journal p. 38"
21,20,24+2,MimuraToda1963,"Theorem, journal p. 38"
22,20,24,MimuraToda1963,"Theorem, journal p. 38"
