stem,status,integral_group,published_alternatives,primary_decomposition,source_ids,note
0,exact,Z,,{},iwx2023,The stable degree group: pi_0^S is infinite cyclic.
1,exact,Z/2,,"{""2"":[2]}",iwx2023,
2,exact,Z/2,,"{""2"":[2]}",iwx2023,
3,exact,Z/24,,"{""2"":[8],""3"":[3]}",iwx2023,
4,exact,0,,{},iwx2023,
5,exact,0,,{},iwx2023,
6,exact,Z/2,,"{""2"":[2]}",iwx2023,
7,exact,Z/240,,"{""2"":[16],""3"":[3],""5"":[5]}",iwx2023,
8,exact,Z/2 + Z/2,,"{""2"":[2,2]}",iwx2023,
9,exact,Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2]}",iwx2023,
10,exact,Z/6,,"{""2"":[2],""3"":[3]}",iwx2023,
11,exact,Z/504,,"{""2"":[8],""3"":[9],""7"":[7]}",iwx2023,
12,exact,0,,{},iwx2023,
13,exact,Z/3,,"{""3"":[3]}",iwx2023,
14,exact,Z/2 + Z/2,,"{""2"":[2,2]}",iwx2023,
15,exact,Z/2 + Z/480,,"{""2"":[2,32],""3"":[3],""5"":[5]}",iwx2023,
16,exact,Z/2 + Z/2,,"{""2"":[2,2]}",iwx2023,
17,exact,Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2]}",iwx2023,
18,exact,Z/2 + Z/8,,"{""2"":[2,8]}",iwx2023,
19,exact,Z/2 + Z/264,,"{""11"":[11],""2"":[2,8],""3"":[3]}",iwx2023,
20,exact,Z/24,,"{""2"":[8],""3"":[3]}",iwx2023,
21,exact,Z/2 + Z/2,,"{""2"":[2,2]}",iwx2023,
22,exact,Z/2 + Z/2,,"{""2"":[2,2]}",iwx2023,
23,exact,Z/2 + Z/24 + Z/65520,,"{""13"":[13],""2"":[2,8,16],""3"":[3,9],""5"":[5],""7"":[7]}",iwx2023,
24,exact,Z/2 + Z/2,,"{""2"":[2,2]}",iwx2023,
25,exact,Z/2 + Z/2,,"{""2"":[2,2]}",iwx2023,
26,exact,Z/2 + Z/6,,"{""2"":[2,2],""3"":[3]}",iwx2023,
27,exact,Z/24,,"{""2"":[8],""3"":[3]}",iwx2023,
28,exact,Z/2,,"{""2"":[2]}",iwx2023,
29,exact,Z/3,,"{""3"":[3]}",iwx2023,
30,exact,Z/6,,"{""2"":[2],""3"":[3]}",iwx2023,
31,exact,Z/2 + Z/2 + Z/16320,,"{""17"":[17],""2"":[2,2,64],""3"":[3],""5"":[5]}",iwx2023,
32,exact,Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2]}",iwx2023,
33,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2,2]}",iwx2023,
34,exact,Z/2 + Z/2 + Z/2 + Z/4,,"{""2"":[2,2,2,4]}",iwx2023,
35,exact,Z/2 + Z/2 + Z/28728,,"{""19"":[19],""2"":[2,2,8],""3"":[27],""7"":[7]}",iwx2023,
36,exact,Z/6,,"{""2"":[2],""3"":[3]}",iwx2023,
37,exact,Z/2 + Z/6,,"{""2"":[2,2],""3"":[3]}",iwx2023,
38,exact,Z/2 + Z/60,,"{""2"":[2,4],""3"":[3],""5"":[5]}",iwx2023,
39,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/6 + Z/13200,,"{""11"":[11],""2"":[2,2,2,2,2,16],""3"":[3,3],""5"":[25]}",iwx2023,
40,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/12,,"{""2"":[2,2,2,2,2,4],""3"":[3]}",iwx2023,
41,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2,2]}",iwx2023,
42,exact,Z/2 + Z/2 + Z/24,,"{""2"":[2,2,8],""3"":[3]}",iwx2023,
43,exact,Z/552,,"{""2"":[8],""23"":[23],""3"":[3]}",iwx2023,
44,exact,Z/8,,"{""2"":[8]}",iwx2023,
45,exact,Z/2 + Z/2 + Z/2 + Z/720,,"{""2"":[2,2,2,16],""3"":[9],""5"":[5]}",iwx2023,
46,exact,Z/2 + Z/2 + Z/2 + Z/6,,"{""2"":[2,2,2,2],""3"":[3]}",iwx2023,
47,exact,Z/2 + Z/2 + Z/2 + Z/12 + Z/131040,,"{""13"":[13],""2"":[2,2,2,4,32],""3"":[3,9],""5"":[5],""7"":[7]}",iwx2023,
48,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/4,,"{""2"":[2,2,2,2,4]}",iwx2023,
49,exact,Z/2 + Z/6,,"{""2"":[2,2],""3"":[3]}",iwx2023,
50,exact,Z/2 + Z/2 + Z/6,,"{""2"":[2,2,2],""3"":[3]}",iwx2023,
51,exact,Z/2 + Z/8 + Z/24,,"{""2"":[2,8,8],""3"":[3]}",iwx2023,
52,exact,Z/2 + Z/2 + Z/6,,"{""2"":[2,2,2],""3"":[3]}",iwx2023,
53,exact,Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2]}",iwx2023,
54,exact,Z/2 + Z/4,,"{""2"":[2,4]}",iwx2023,
55,exact,Z/3 + Z/6960,,"{""2"":[16],""29"":[29],""3"":[3,3],""5"":[5]}",iwx2023,
56,exact,Z/2,,"{""2"":[2]}",iwx2023,
57,exact,Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2]}",iwx2023,
58,exact,Z/2 + Z/2,,"{""2"":[2,2]}",iwx2023,
59,exact,Z/2 + Z/2 + Z/171864,,"{""11"":[11],""2"":[2,2,8],""3"":[9],""31"":[31],""7"":[7]}",iwx2023,
60,exact,Z/4,,"{""2"":[4]}",iwx2023,
61,exact,0,,{},iwx2023,
62,exact,Z/2 + Z/2 + Z/2 + Z/6,,"{""2"":[2,2,2,2],""3"":[3]}",iwx2023,
63,exact,Z/2 + Z/2 + Z/4 + Z/32640,,"{""17"":[17],""2"":[2,2,4,128],""3"":[3],""5"":[5]}",iwx2023,
64,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/4,,"{""2"":[2,2,2,2,2,2,4]}",iwx2023,
65,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/12,,"{""2"":[2,2,2,2,2,2,2,2,2,4],""3"":[3]}",iwx2023,
66,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/8,,"{""2"":[2,2,2,2,2,2,8]}",iwx2023,
67,exact,Z/2 + Z/2 + Z/2 + Z/4 + Z/24,,"{""2"":[2,2,2,4,8],""3"":[3]}",iwx2023,
68,exact,Z/2 + Z/2 + Z/6,,"{""2"":[2,2,2],""3"":[3]}",iwx2023,
69,exact,Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2]}",iwx2023,
70,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/4,,"{""2"":[2,2,2,2,2,2,4]}",bix2025;iwx2023,Applies the published 2025 correction to the erroneous IWX 2023 2-primary v1-torsion entry.
71,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/4 + Z/8 + Z/138181680,,"{""13"":[13],""19"":[19],""2"":[2,2,2,2,2,4,8,16],""3"":[27],""37"":[37],""5"":[5],""7"":[7]}",bix2025;iwx2023,Applies the published 2025 correction to the erroneous IWX 2023 2-primary v1-torsion entry and retains the unchanged v1-periodic summands.
72,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/6,,"{""2"":[2,2,2,2,2,2,2,2],""3"":[3]}",iwx2023,
73,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2,2,2,2]}",iwx2023,
74,exact,Z/2 + Z/4 + Z/4 + Z/12,,"{""2"":[2,4,4,4],""3"":[3]}",iwx2023,
75,exact,Z/6 + Z/72,,"{""2"":[2,8],""3"":[3,9]}",iwx2023,
76,exact,Z/2 + Z/2 + Z/20,,"{""2"":[2,2,4],""5"":[5]}",iwx2023,
77,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/4,,"{""2"":[2,2,2,2,2,4]}",iwx2023,
78,exact,Z/2 + Z/2 + Z/2 + Z/4 + Z/12,,"{""2"":[2,2,2,4,4],""3"":[3]}",iwx2023,
79,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/4 + Z/1082400,,"{""11"":[11],""2"":[2,2,2,2,2,2,4,32],""3"":[3],""41"":[41],""5"":[25]}",iwx2023,
80,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2,2,2,2,2,2]}",iwx2023,
81,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/12 + Z/24,,"{""2"":[2,2,2,2,2,4,8],""3"":[3,3]}",iwx2023,
82,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/168,,"{""2"":[2,2,2,2,2,2,8],""3"":[3],""7"":[7]}",bix2025;iwx2023,Uses BIX 2025 Theorem 1.1 for the now-complete 2-primary component; odd-primary summands remain from IWX 2023.
83,exact,Z/2 + Z/2 + Z/2 + Z/8 + Z/758520,,"{""2"":[2,2,2,8,8],""3"":[9],""43"":[43],""5"":[5],""7"":[49]}",bix2025;iwx2023,Uses BIX 2025 Theorem 1.1 for the now-complete 2-primary component; odd-primary summands remain from IWX 2023.
84,published_alternatives,,Z/2 + Z/2 + Z/2 + Z/2 + Z/6 + Z/6 | Z/2 + Z/2 + Z/2 + Z/6 + Z/6,{},iwx2023,Not exact: IWX 2023 leaves a factor-of-2 ambiguity in the 2-primary v1-torsion component.
85,published_alternatives,,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/12 + Z/12 | Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/12 + Z/12 | Z/2 + Z/2 + Z/2 + Z/2 + Z/4 + Z/12 + Z/12 | Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/6 + Z/12,{},iwx2023,Not exact: IWX 2023 lists four possible 2-primary additive structures.
86,published_alternatives,,Z/2 + Z/2 + Z/2 + Z/2 + Z/8 + Z/120 | Z/2 + Z/2 + Z/4 + Z/8 + Z/120,{},iwx2023,Not exact: IWX 2023 lists two possible 2-primary additive structures.
87,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/4 + Z/5520,,"{""2"":[2,2,2,2,2,4,16],""23"":[23],""3"":[3],""5"":[5]}",iwx2023,
88,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2 + Z/4,,"{""2"":[2,2,2,2,2,4]}",iwx2023,
89,exact,Z/2 + Z/2 + Z/2 + Z/2 + Z/2,,"{""2"":[2,2,2,2,2]}",iwx2023,
90,published_alternatives,,Z/2 + Z/2 + Z/2 + Z/2 + Z/24 | Z/2 + Z/2 + Z/2 + Z/24,{},iwx2023,Not exact: IWX 2023 leaves a factor-of-2 ambiguity; the known v1-periodic C2 and odd-primary C3 summands are included in each full-group alternative.
