residue_mod_192,row_label,cyclic_order,representative_notation,filtration_range_as_source,number_of_families_in_row,stems,tmf_Hurewicz,detector,source,source_url
23,a,Z/8,nu bar-kappa,[5],1,"23+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
23,b,Z/2,eta epsilon kappa,"[5,7]",4,"23+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
26,,Z/2,nu^2 bar-kappa,[6],2,"26+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
47,a,Z/4,[2 nu bar-kappa Delta],[5],1,"47+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
47,b,Z/2,eta kappa [epsilon Delta],"[5,7]",5,"47+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
48,,Z/2,nu [eta bar-kappa Delta],"[6,10]",5,"48+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
71,a,Z/8,[nu bar-kappa Delta^2],[5],1,"71+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
71,b,Z/2,[epsilon Delta][eta kappa Delta],"[5,7]",7,"71+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
72,,Z/2,eta [nu bar-kappa Delta^2],"[6,10]",3,"72+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
73,,Z/2,eta^2 [nu bar-kappa Delta^2],"[7,11]",10,"73+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
