stem,element,order,relation_or_definition,status,source,source_url
10,beta_1,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
13,alpha_1 beta_1,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
20,beta_1^2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
23,alpha_1 beta_1^2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
26,beta_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
29,alpha_1 beta_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
30,beta_1^3,3,"<beta_2,3,alpha_1>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
36,beta_1 beta_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
37,"<alpha_1,alpha_1,beta_1^3>",3,"= <beta_1,3,beta_2>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
38,beta_{3/2},3,"<alpha_1,beta_1^3,3,alpha_1>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
39,alpha_1 beta_1 beta_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
40,beta_1^4,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
42,beta_3,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
45,x_45,9,"<alpha_1,alpha_1,beta_{3/2}>; 3x_45=alpha_1 beta_3",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
46,beta_1^2 beta_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
47,"<alpha_1,alpha_1,beta_1^4>",3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
49,alpha_1 beta_1^2 beta_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
50,beta_1^5,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
52,beta_2^2,3,"<alpha_1,alpha_1,x_45>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
55,alpha_1 beta_2^2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
62,beta_1 beta_2^2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
65,alpha_1 beta_1 beta_2^2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
68,x_68,3,"<alpha_1,beta_{3/2},beta_2>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
72,beta_1^2 beta_2^2,3,"<alpha_1,3,x_68>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
74,beta_5,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
75,x_75,9,"<alpha_1,alpha_1,x_68>=<beta_1,beta_{3/2},beta_2>; 3x_75=alpha_1 beta_1^2 beta_2^2",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
78,beta_2^3,3,= beta_1 x_68,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
81,gamma_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
81,x_81,3,"<alpha_1,alpha_1,beta_5>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
82,beta_{6/3},3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
84,alpha_1 gamma_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
84,beta_1 beta_5,3,= alpha_1 x_81,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
