stem,2-primary_v1_torsion_compact,2-primary_v1_torsion,odd-primary_v1_torsion_compact,odd-primary_v1_torsion,v1_periodic_compact,v1_periodic,total_additive_group,status
0,Z,Z,,0,,0,Z,exact
1,,0,,0,2,Z/2,Z/2,exact
2,,0,,0,2,Z/2,Z/2,exact
3,,0,,0,8*3,Z/8 + Z/3,Z/8 + Z/3,exact
4,,0,,0,,0,0,exact
5,,0,,0,,0,0,exact
6,2,Z/2,,0,,0,Z/2,exact
7,,0,,0,16*3*5,Z/16 + Z/3 + Z/5,Z/16 + Z/3 + Z/5,exact
8,2,Z/2,,0,2,Z/2,Z/2 + Z/2,exact
9,2,Z/2,,0,2^2,(Z/2)^2,Z/2 + (Z/2)^2,exact
10,,0,3,Z/3,2,Z/2,Z/3 + Z/2,exact
11,,0,,0,8*9*7,Z/8 + Z/9 + Z/7,Z/8 + Z/9 + Z/7,exact
12,,0,,0,,0,0,exact
13,,0,3,Z/3,,0,Z/3,exact
14,2*2,Z/2 + Z/2,,0,,0,Z/2 + Z/2,exact
15,2,Z/2,,0,32*3*5,Z/32 + Z/3 + Z/5,Z/2 + Z/32 + Z/3 + Z/5,exact
16,2,Z/2,,0,2,Z/2,Z/2 + Z/2,exact
17,2^2,(Z/2)^2,,0,2^2,(Z/2)^2,(Z/2)^2 + (Z/2)^2,exact
18,8,Z/8,,0,2,Z/2,Z/8 + Z/2,exact
19,2,Z/2,,0,8*3*11,Z/8 + Z/3 + Z/11,Z/2 + Z/8 + Z/3 + Z/11,exact
20,8,Z/8,3,Z/3,,0,Z/8 + Z/3,exact
21,2^2,(Z/2)^2,,0,,0,(Z/2)^2,exact
22,2^2,(Z/2)^2,,0,,0,(Z/2)^2,exact
23,2*8,Z/2 + Z/8,3,Z/3,16*9*5*7*13,Z/16 + Z/9 + Z/5 + Z/7 + Z/13,Z/2 + Z/8 + Z/3 + Z/16 + Z/9 + Z/5 + Z/7 + Z/13,exact
24,2,Z/2,,0,2,Z/2,Z/2 + Z/2,exact
25,,0,,0,2^2,(Z/2)^2,(Z/2)^2,exact
26,2,Z/2,3,Z/3,2,Z/2,Z/2 + Z/3 + Z/2,exact
27,,0,,0,8*3,Z/8 + Z/3,Z/8 + Z/3,exact
28,2,Z/2,,0,,0,Z/2,exact
29,,0,3,Z/3,,0,Z/3,exact
30,2,Z/2,3,Z/3,,0,Z/2 + Z/3,exact
31,2^2,(Z/2)^2,,0,64*3*5*17,Z/64 + Z/3 + Z/5 + Z/17,(Z/2)^2 + Z/64 + Z/3 + Z/5 + Z/17,exact
32,2^3,(Z/2)^3,,0,2,Z/2,(Z/2)^3 + Z/2,exact
33,2^3,(Z/2)^3,,0,2^2,(Z/2)^2,(Z/2)^3 + (Z/2)^2,exact
34,2^2*4,(Z/2)^2 + Z/4,,0,2,Z/2,(Z/2)^2 + Z/4 + Z/2,exact
35,2^2,(Z/2)^2,,0,8*27*7*19,Z/8 + Z/27 + Z/7 + Z/19,(Z/2)^2 + Z/8 + Z/27 + Z/7 + Z/19,exact
36,2,Z/2,3,Z/3,,0,Z/2 + Z/3,exact
37,2^2,(Z/2)^2,3,Z/3,,0,(Z/2)^2 + Z/3,exact
38,2*4,Z/2 + Z/4,3*5,Z/3 + Z/5,,0,Z/2 + Z/4 + Z/3 + Z/5,exact
39,2^5,(Z/2)^5,3,Z/3,16*3*25*11,Z/16 + Z/3 + Z/25 + Z/11,(Z/2)^5 + Z/3 + Z/16 + Z/3 + Z/25 + Z/11,exact
40,2^4*4,(Z/2)^4 + Z/4,3,Z/3,2,Z/2,(Z/2)^4 + Z/4 + Z/3 + Z/2,exact
41,2^3,(Z/2)^3,,0,2^2,(Z/2)^2,(Z/2)^3 + (Z/2)^2,exact
42,2*8,Z/2 + Z/8,3,Z/3,2,Z/2,Z/2 + Z/8 + Z/3 + Z/2,exact
43,,0,,0,8*3*23,Z/8 + Z/3 + Z/23,Z/8 + Z/3 + Z/23,exact
44,8,Z/8,,0,,0,Z/8,exact
45,2^3*16,(Z/2)^3 + Z/16,9*5,Z/9 + Z/5,,0,(Z/2)^3 + Z/16 + Z/9 + Z/5,exact
46,2^4,(Z/2)^4,3,Z/3,,0,(Z/2)^4 + Z/3,exact
47,2^3*4,(Z/2)^3 + Z/4,3,Z/3,32*9*5*7*13,Z/32 + Z/9 + Z/5 + Z/7 + Z/13,(Z/2)^3 + Z/4 + Z/3 + Z/32 + Z/9 + Z/5 + Z/7 + Z/13,exact
48,2^3*4,(Z/2)^3 + Z/4,,0,2,Z/2,(Z/2)^3 + Z/4 + Z/2,exact
49,,0,3,Z/3,2^2,(Z/2)^2,Z/3 + (Z/2)^2,exact
50,2^2,(Z/2)^2,3,Z/3,2,Z/2,(Z/2)^2 + Z/3 + Z/2,exact
51,2*8,Z/2 + Z/8,,0,8*3,Z/8 + Z/3,Z/2 + Z/8 + Z/8 + Z/3,exact
52,2^3,(Z/2)^3,3,Z/3,,0,(Z/2)^3 + Z/3,exact
53,2^4,(Z/2)^4,,0,,0,(Z/2)^4,exact
54,2*4,Z/2 + Z/4,,0,,0,Z/2 + Z/4,exact
55,,0,3,Z/3,16*3*5*29,Z/16 + Z/3 + Z/5 + Z/29,Z/3 + Z/16 + Z/3 + Z/5 + Z/29,exact
56,,0,,0,2,Z/2,Z/2,exact
57,2,Z/2,,0,2^2,(Z/2)^2,Z/2 + (Z/2)^2,exact
58,2,Z/2,,0,2,Z/2,Z/2 + Z/2,exact
59,2^2,(Z/2)^2,,0,8*9*7*11*31,Z/8 + Z/9 + Z/7 + Z/11 + Z/31,(Z/2)^2 + Z/8 + Z/9 + Z/7 + Z/11 + Z/31,exact
60,4,Z/4,,0,,0,Z/4,exact
61,,0,,0,,0,0,exact
62,2^4,(Z/2)^4,3,Z/3,,0,(Z/2)^4 + Z/3,exact
63,2^2*4,(Z/2)^2 + Z/4,,0,128*3*5*17,Z/128 + Z/3 + Z/5 + Z/17,(Z/2)^2 + Z/4 + Z/128 + Z/3 + Z/5 + Z/17,exact
64,2^5*4,(Z/2)^5 + Z/4,,0,2,Z/2,(Z/2)^5 + Z/4 + Z/2,exact
65,2^7*4,(Z/2)^7 + Z/4,3,Z/3,2^2,(Z/2)^2,(Z/2)^7 + Z/4 + Z/3 + (Z/2)^2,exact
66,2^5*8,(Z/2)^5 + Z/8,,0,2,Z/2,(Z/2)^5 + Z/8 + Z/2,exact
67,2^3*4,(Z/2)^3 + Z/4,,0,8*3,Z/8 + Z/3,(Z/2)^3 + Z/4 + Z/8 + Z/3,exact
68,2^3,(Z/2)^3,3,Z/3,,0,(Z/2)^3 + Z/3,exact
69,2^4,(Z/2)^4,,0,,0,(Z/2)^4,exact
70,2^6*4,(Z/2)^6 + Z/4,,0,,0,(Z/2)^6 + Z/4,exact; corrected 2025
71,2^5*4*8,(Z/2)^5 + Z/4 + Z/8,,0,16*27*5*7*13*19*37,Z/16 + Z/27 + Z/5 + Z/7 + Z/13 + Z/19 + Z/37,(Z/2)^5 + Z/4 + Z/8 + Z/16 + Z/27 + Z/5 + Z/7 + Z/13 + Z/19 + Z/37,exact; corrected 2025
