stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
0,all,degree zero,Z,,,pi_0^S=Z,exact in all dimensions
1,2,2-primary v1-periodic,Z/2,,,k=1 or 2,exact
2,2,2-primary v1-periodic,Z/2,,,k=1 or 2,exact
3,2,2-primary v1-periodic,Z/4,,,k=3,exact
3,3,odd-primary image J,Z/3,1,0,k=(2p-2)t-1,exact in all dimensions
7,2,2-primary image-J cyclic summand,Z/16,1,0,"k=8t-1, t odd*2^m",exact
7,3,odd-primary image J,Z/3,2,0,k=(2p-2)t-1,exact in all dimensions
7,5,odd-primary image J,Z/5,1,0,k=(2p-2)t-1,exact in all dimensions
8,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
9,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
10,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
11,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
11,3,odd-primary image J,Z/9,3,1,k=(2p-2)t-1,exact in all dimensions
11,7,odd-primary image J,Z/7,1,0,k=(2p-2)t-1,exact in all dimensions
15,2,2-primary image-J cyclic summand,Z/32,2,1,"k=8t-1, t odd*2^m",exact
15,3,odd-primary image J,Z/3,4,0,k=(2p-2)t-1,exact in all dimensions
15,5,odd-primary image J,Z/5,2,0,k=(2p-2)t-1,exact in all dimensions
16,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
17,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
18,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
19,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
19,3,odd-primary image J,Z/3,5,0,k=(2p-2)t-1,exact in all dimensions
19,11,odd-primary image J,Z/11,1,0,k=(2p-2)t-1,exact in all dimensions
23,2,2-primary image-J cyclic summand,Z/16,3,0,"k=8t-1, t odd*2^m",exact
23,3,odd-primary image J,Z/9,6,1,k=(2p-2)t-1,exact in all dimensions
23,5,odd-primary image J,Z/5,3,0,k=(2p-2)t-1,exact in all dimensions
23,7,odd-primary image J,Z/7,2,0,k=(2p-2)t-1,exact in all dimensions
23,13,odd-primary image J,Z/13,1,0,k=(2p-2)t-1,exact in all dimensions
24,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
25,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
